in:Item number,out:Length,out:Height,out:MCI,out:Virgin content,out:Recycled content,out:Recyclable content,out:Reusable content,out:Unrecoverable waste,out:CO2,out:Cost/yr,out:Life,out:Uvalue,img,threeD
44,1200,600,0.579056,0.600562,0.399438,0,1,23.812257,1076.587222,920.622603,30,2.368668,https://apreyaprey.github.io/design_explorer_data/RedBox/Itemnumber44_Perspective.png,https://apreyaprey.github.io/design_explorer_data/RedBox/Itemnumber44.json
45,1200,600,0.580105,0.296103,0.703897,0.688494,0.311506,74.68295,1082.431016,974.113945,27,2.850811,https://apreyaprey.github.io/design_explorer_data/RedBox/Itemnumber45_Perspective.png,https://apreyaprey.github.io/design_explorer_data/RedBox/Itemnumber45.json
46,1000,1100,0.60708,0.711594,0.288406,0.333384,0.666616,28.647897,2049.991084,1212.742033,40,2.854763,https://apreyaprey.github.io/design_explorer_data/RedBox/Itemnumber46_Perspective.png,https://apreyaprey.github.io/design_explorer_data/RedBox/Itemnumber46.json
47,1300,1300,0.612634,0.676638,0.323362,0.281653,0.718347,40.35152,3115.710108,1656.150504,39,2.445749,https://apreyaprey.github.io/design_explorer_data/RedBox/Itemnumber47_Perspective.png,https://apreyaprey.github.io/design_explorer_data/RedBox/Itemnumber47.json
48,1200,1600,0.552221,0.578421,0.421579,0.730698,0.269302,141.682452,3517.238611,2334.47006,35,1.989037,https://apreyaprey.github.io/design_explorer_data/RedBox/Itemnumber48_Perspective.png,https://apreyaprey.github.io/design_explorer_data/RedBox/Itemnumber48.json
49,1400,500,0.601935,0.548482,0.451518,0.419147,0.580853,32.150045,1183.82522,861.470163,33,2.206968,https://apreyaprey.github.io/design_explorer_data/RedBox/Itemnumber49_Perspective.png,https://apreyaprey.github.io/design_explorer_data/RedBox/Itemnumber49.json
50,1600,700,0.566663,0.282528,0.717472,0.920633,0.079367,120.372787,1646.299086,1428.508896,27,2.552505,https://apreyaprey.github.io/design_explorer_data/RedBox/Itemnumber50_Perspective.png,https://apreyaprey.github.io/design_explorer_data/RedBox/Itemnumber50.json
51,600,1100,0.564944,0.614212,0.385788,0.319384,0.680616,23.292185,1198.100621,800.453697,30,1.838855,https://apreyaprey.github.io/design_explorer_data/RedBox/Itemnumber51_Perspective.png,https://apreyaprey.github.io/design_explorer_data/RedBox/Itemnumber51.json
52,1700,2000,0.54325,0.304848,0.695152,0.838694,0.161306,309.415807,5207.491972,3645.766714,26,2.193176,https://apreyaprey.github.io/design_explorer_data/RedBox/Itemnumber52_Perspective.png,https://apreyaprey.github.io/design_explorer_data/RedBox/Itemnumber52.json
53,600,1600,0.598088,0.267806,0.732194,1,0,106.515752,1498.032769,1226.94971,30,2.88339,https://apreyaprey.github.io/design_explorer_data/RedBox/Itemnumber53_Perspective.png,https://apreyaprey.github.io/design_explorer_data/RedBox/Itemnumber53.json
54,1700,1100,0.570193,0.498495,0.501505,0.274526,0.725474,77.606664,2695.03991,1870.841575,27,2.290286,https://apreyaprey.github.io/design_explorer_data/RedBox/Itemnumber54_Perspective.png,https://apreyaprey.github.io/design_explorer_data/RedBox/Itemnumber54.json
55,1600,1300,0.57315,0.288238,0.711762,0.800632,0.199368,200.264983,3021.583964,2391.126805,28,1.81056,https://apreyaprey.github.io/design_explorer_data/RedBox/Itemnumber55_Perspective.png,https://apreyaprey.github.io/design_explorer_data/RedBox/Itemnumber55.json
56,800,1400,0.581585,0.342272,0.657728,1,0,409.433908,8387.977641,4707.978988,32,3.399674,https://apreyaprey.github.io/design_explorer_data/RedBox/Itemnumber56_Perspective.png,https://apreyaprey.github.io/design_explorer_data/RedBox/Itemnumber56.json
